provider,model,cost_per_1k_tokens,requests_count,total_tokens,total_cost,percentage
openai,gpt-4,0.03,45,15750,0.4725,45.2
openai,gpt-3.5-turbo,0.002,35,8750,0.0175,1.7
anthropic,claude-3-opus,0.015,20,8000,0.12,11.5
anthropic,claude-3-sonnet,0.003,30,9000,0.027,2.6
google,gemini-pro,0.0005,40,12000,0.006,0.6
openai,gpt-4-turbo,0.01,15,5250,0.0525,5.0
anthropic,claude-3-haiku,0.00025,25,6250,0.0015625,0.1
google,gemini-ultra,0.005,10,3500,0.0175,1.7
azure,openai-gpt-4,0.03,8,2800,0.084,8.0
azure,openai-gpt-35-turbo,0.002,12,3000,0.006,0.6
cohere,command,0.001,18,5400,0.0054,0.5
cohere,command-light,0.0005,22,5500,0.00275,0.3
mistral,large,0.007,16,4800,0.0336,3.2
mistral,medium,0.0024,14,4200,0.01008,1.0
mistral,small,0.0007,20,6000,0.0042,0.4
perplexity,sonar-small,0.0003,28,8400,0.00252,0.2
perplexity,sonar-medium,0.001,24,7200,0.0072,0.7
perplexity,sonar-large,0.002,19,5700,0.0114,1.1
openai,text-embedding-ada-002,0.0001,50,15000,0.0015,0.1
openai,text-embedding-3-small,0.00002,45,13500,0.00027,0.0
openai,text-embedding-3-large,0.00013,30,9000,0.00117,0.1
anthropic,claude-3-sonnet-20240229,0.003,25,7500,0.0225,2.2
anthropic,claude-3-opus-20240229,0.015,18,6300,0.0945,9.0
google,gemini-1.5-pro,0.00375,22,6600,0.02475,2.4
google,gemini-1.5-flash,0.000075,35,10500,0.0007875,0.1
