component,status,uptime,response_time,last_check,version,load_average,memory_usage,disk_usage
LLM Proxy,healthy,99.9,45,2024-01-15T16:50:00Z,1.0.0,0.3,45.2,23.1
Policy Engine,healthy,99.8,12,2024-01-15T16:49:00Z,1.0.0,0.1,12.8,8.5
Safety Checker,warning,98.5,89,2024-01-15T16:48:00Z,1.0.0,0.7,78.4,45.2
Cost Tracker,healthy,99.7,23,2024-01-15T16:47:00Z,1.0.0,0.2,34.1,15.8
Database,healthy,99.9,8,2024-01-15T16:46:00Z,15.0,0.4,56.7,67.3
Redis Cache,healthy,99.6,5,2024-01-15T16:45:00Z,7.0,0.1,23.4,12.1
OPA Engine,healthy,99.8,15,2024-01-15T16:44:00Z,0.50.0,0.2,18.9,9.7
API Gateway,healthy,99.9,32,2024-01-15T16:43:00Z,1.0.0,0.3,41.2,28.4
Authentication,healthy,99.9,18,2024-01-15T16:42:00Z,1.0.0,0.1,15.6,7.2
Rate Limiter,healthy,99.7,7,2024-01-15T16:41:00Z,1.0.0,0.1,8.9,4.1
Monitoring,healthy,99.8,25,2024-01-15T16:40:00Z,1.0.0,0.2,29.3,18.6
Logging,healthy,99.9,3,2024-01-15T16:39:00Z,1.0.0,0.1,12.1,6.8
Frontend,healthy,99.9,67,2024-01-15T16:38:00Z,1.0.0,0.2,38.7,22.1
Load Balancer,healthy,99.9,12,2024-01-15T16:37:00Z,1.0.0,0.1,16.4,9.3
File Storage,healthy,99.8,45,2024-01-15T16:36:00Z,1.0.0,0.3,52.8,34.7
Message Queue,healthy,99.7,28,2024-01-15T16:35:00Z,1.0.0,0.2,31.5,19.2
Email Service,healthy,99.6,89,2024-01-15T16:34:00Z,1.0.0,0.1,24.7,11.8
Notification Service,healthy,99.8,34,2024-01-15T16:33:00Z,1.0.0,0.2,27.3,16.4
Backup Service,healthy,99.9,156,2024-01-15T16:32:00Z,1.0.0,0.1,19.8,8.9
Security Scanner,healthy,99.7,78,2024-01-15T16:31:00Z,1.0.0,0.3,44.6,25.1
